id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
320284,GB-0387,small_airport,"Hollym Airfield",53.7157,0.049669,50,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,http://www.hollymairfield.metsite.com/,,"Cliff Top, Hollym East",50,2020-06-30T04:15:09+00:00
320285,GB-0388,small_airport,"Pitsford Water",52.3153,-0.871944,330,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,"Moulton Grange Farm",50,2016-09-14T08:51:23+00:00
320289,GB-0390,small_airport,"Coleman Green Airstrip",51.7918157,-0.274944,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-09-15T02:48:44+00:00
320305,GB-0393,small_airport,"Currock Hill Glider Field",54.9331,-1.84681,800,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,http://www.northumbria-gliding-club.co.uk/,,"Northumbria Gliding Club",50,2016-09-15T13:55:42+00:00
320365,GB-0394,small_airport,"Little Snoring Airfield",52.860285,0.903092,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,http://www.mcaullyflyinggroup.org/little-snoring-flying-in.aspx,,,50,2016-09-19T06:26:53+00:00
320366,GB-0395,small_airport,"Main Hall Farm Airfield",52.2719444444,-0.0708333333,63,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-09-19T06:36:44+00:00
320407,GB-0397,small_airport,Chilbolton,51.1377,-1.41801,292,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,http://chilboltonflyingclub.co.uk,,,50,2016-09-21T05:33:27+00:00
320408,GB-0398,small_airport,"St Michaels",53.8518,-2.79346,28,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,http://www.northernmicrolights.co.uk/,,,50,2016-09-21T05:37:52+00:00
320409,GB-0399,small_airport,"Chase Farm Airstrip",51.5681,-2.38754,325,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-09-21T05:40:26+00:00
320448,GB-0403,small_airport,"Crockham Hill Airfield",51.233604,0.08001,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,"Orchard House",50,2016-09-23T05:27:37+00:00
